sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 03,AB 20,1,3,labial,?,a,?,1,1,unknown,unclassified: AB 03(pa) ↔ AB 20(zo?),0.0,AB 07-[AB 03|AB 20]-AB 49
AB 10,AB 49,2,3,vowel,?,u,?,1,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 49(?),0.0,AB 03-AB 49-[AB 10|AB 49]
AB 07,AB 03,2,3,dental/coronal,labial,i,a,1,1,morphological,prefix/suffix substitution: AB 07(di) ↔ AB 03(pa),0.0,AB 49-AB 10-[AB 07|AB 03]
AB 10,AB 08,1,3,vowel,vowel,u,a,1,1,phonetic,"same class (vowel), different vowel: AB 10(u) ↔ AB 08(a)",0.5,AB 49-[AB 10|AB 08]-AB 07
AB 56,AB 59,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 59(?),0.0,[AB 56|AB 59]-AB 49-AB 23
AB 49,AB 76,0,3,?,labial,?,i,1,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 76(pi),0.0,[AB 49|AB 76]-AB 23-AB 65
AB 65,AB 09,2,3,velar/palatal,dental/coronal,u,e,1,1,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 09(se),0.0,AB 49-AB 23-[AB 65|AB 09]
AB 22f,AB 32,2,3,?,vowel,?,i,1,1,morphological,prefix/suffix substitution: AB 22f(?) ↔ AB 32(i),0.0,AB 23-AB 65-[AB 22f|AB 32]
AB 22f,AB 26,1,3,?,dental/coronal,?,u,1,1,unknown,unclassified: AB 22f(?) ↔ AB 26(ru),0.0,AB 65-[AB 22f|AB 26]-AB 49
AB 22f,AB 62,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 22f(?) ↔ AB 62(?),0.0,[AB 22f|AB 62]-AB 49-AB 36
AB 01,AB 08,2,3,dental/coronal,vowel,a,a,1,1,morphological,prefix/suffix substitution: AB 01(da) ↔ AB 08(a),0.0,AB 49-AB 36-[AB 01|AB 08]
AB 36,AB 26,1,3,velar/palatal,dental/coronal,o,u,1,1,unknown,unclassified: AB 36(jo) ↔ AB 26(ru),0.0,AB 49-[AB 36|AB 26]-AB 01
AB 49,AB 08,0,3,?,vowel,?,a,1,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,[AB 49|AB 08]-AB 36-AB 01
AB 49,VASE 5,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 49(?) ↔ VASE 5(?),0.0,[AB 49|VASE 5]-AB 36-AB 01
AB 49,AB 01,0,3,?,dental/coronal,?,a,1,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 01(da),0.0,[AB 49|AB 01]-AB 36-AB 01
AB 36,VASE 9,0,3,velar/palatal,?,o,?,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ VASE 9(?),0.0,[AB 36|VASE 9]-AB 01-AB 52
AB 36,AB 59,0,3,velar/palatal,?,o,?,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 59(?),0.0,[AB 36|AB 59]-AB 01-AB 52
AB 52,AB 04,2,3,?,dental/coronal,?,e,1,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 04(te),0.0,AB 36-AB 01-[AB 52|AB 04]
AB 52,AB 05,2,3,?,dental/coronal,?,o,1,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 05(to),0.0,AB 36-AB 01-[AB 52|AB 05]
AB 52,AB 02,2,3,?,dental/coronal,?,o,1,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 02(ro),0.0,AB 36-AB 01-[AB 52|AB 02]
VASE 9,AB 59,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 9(?) ↔ AB 59(?),0.0,[VASE 9|AB 59]-AB 01-AB 52
A 335,AB 36,0,3,?,velar/palatal,?,o,1,1,morphological,prefix/suffix substitution: A 335(?) ↔ AB 36(jo),0.0,[A 335|AB 36]-AB 77-VASE 7
A 335,VASE 10,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 335(?) ↔ VASE 10(?),0.0,[A 335|VASE 10]-AB 77-VASE 7
VASE 7,AB 33,2,3,?,labial,?,a,1,1,morphological,prefix/suffix substitution: VASE 7(?) ↔ AB 33(pa),0.0,AB 77-VASE 7-[VASE 7|AB 33]
VASE 7,A 386,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 7(?) ↔ A 386(?),0.0,AB 77-VASE 7-[VASE 7|A 386]
