sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 29,AB 37,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 37(?),0.0,[AB 29|AB 37]-AB 03-AB 49
AB 29,AB 07,0,3,dental/coronal,dental/coronal,u,i,1,1,unknown,unclassified: AB 29(pu) ↔ AB 07(di),0.0,[AB 29|AB 07]-AB 03-AB 49
AB 29,AB 44,0,3,dental/coronal,velar/palatal,u,e,1,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 44(ke),0.0,[AB 29|AB 44]-AB 03-AB 49
AB 29,AB 24,0,3,dental/coronal,dental/coronal,u,e,1,1,unknown,unclassified: AB 29(pu) ↔ AB 24(ne),0.0,[AB 29|AB 24]-AB 03-AB 49
AB 03,AB 09,0,3,labial,dental/coronal,a,e,1,1,morphological,prefix/suffix substitution: AB 03(pa) ↔ AB 09(se),0.0,[AB 03|AB 09]-AB 49-VASE 3
VASE 3,AB 73,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 73(?),0.0,AB 03-AB 49-[VASE 3|AB 73]
VASE 3,AB 75,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 75(?),0.0,AB 03-AB 49-[VASE 3|AB 75]
VASE 3,AB 50,2,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 50(pu),0.0,AB 03-AB 49-[VASE 3|AB 50]
VASE 3,AB 51,2,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 51(du),0.0,AB 03-AB 49-[VASE 3|AB 51]
VASE 3,AB 10,2,3,?,vowel,?,u,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 10(u),0.0,AB 03-AB 49-[VASE 3|AB 10]
VASE 3,AB 49,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 49(?),0.0,AB 03-AB 49-[VASE 3|AB 49]
A 364,AB 02,1,3,?,dental/coronal,?,o,1,1,unknown,unclassified: A 364(?) ↔ AB 02(ro),0.0,AB 51-[A 364|AB 02]-AB 04
A 364,AB 29,1,3,?,dental/coronal,?,u,1,1,unknown,unclassified: A 364(?) ↔ AB 29(pu),0.0,AB 51-[A 364|AB 29]-AB 04
A 364,AB 35,1,3,?,dental/coronal,?,i,1,1,unknown,unclassified: A 364(?) ↔ AB 35(ti),0.0,AB 51-[A 364|AB 35]-AB 04
AB 04,AB 73,1,3,dental/coronal,?,e,?,1,1,unknown,unclassified: AB 04(te) ↔ AB 73(?),0.0,A 364-[AB 04|AB 73]-MET A
AB 04,AB 02,0,3,dental/coronal,dental/coronal,e,o,1,1,unknown,unclassified: AB 04(te) ↔ AB 02(ro),0.0,[AB 04|AB 02]-MET A-A 728
AB 30,AB 66,2,3,dental/coronal,?,i,?,1,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 66(?),0.0,MET A-A 728-[AB 30|AB 66]
A 728,AB 56,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 728(?) ↔ AB 56(?),0.0,[A 728|AB 56]-AB 30-AB 02
MET A,AB 63,2,3,?,velar/palatal,?,e,1,1,morphological,prefix/suffix substitution: MET A(?) ↔ AB 63(ke),0.0,AB 30-AB 02-[MET A|AB 63]
AB 66,AB 73,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 73(?),0.0,[AB 66|AB 73]-AB 86-MET E
AB 50,A 711,2,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ A 711(?),0.0,AB 86-MET E-[AB 50|A 711]
AB 50,AB 08,0,3,dental/coronal,vowel,u,a,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 08(a),0.0,[AB 50|AB 08]-AB 44-AB 24
AB 50,VASE 2,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ VASE 2(?),0.0,[AB 50|VASE 2]-AB 44-AB 24
AB 44,AB 13,1,3,velar/palatal,labial,e,e,1,1,unknown,unclassified: AB 44(ke) ↔ AB 13(me),0.0,AB 50-[AB 44|AB 13]-AB 24
AB 50,AB 51,0,3,dental/coronal,dental/coronal,u,u,1,1,unknown,unclassified: AB 50(pu) ↔ AB 51(du),0.0,[AB 50|AB 51]-AB 44-AB 24
AB 50,A 313,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ A 313(?),0.0,[AB 50|A 313]-AB 44-AB 24
AB 57,AB 90,2,3,velar/palatal,?,a,o,1,1,morphological,prefix/suffix substitution: AB 57(ja) ↔ AB 90(lo),0.0,AB 44-AB 24-[AB 57|AB 90]
AB 44,AB 28,0,3,velar/palatal,vowel,e,i,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 28(i),0.0,[AB 44|AB 28]-AB 24-AB 57
AB 44,AB 08,0,3,velar/palatal,vowel,e,a,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 08(a),0.0,[AB 44|AB 08]-AB 24-AB 57
MET A,AB 12,2,3,?,dental/coronal,?,o,1,1,morphological,prefix/suffix substitution: MET A(?) ↔ AB 12(so),0.0,AB 24-AB 57-[MET A|AB 12]
MET A,AB 59,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: MET A(?) ↔ AB 59(?),0.0,AB 24-AB 57-[MET A|AB 59]
A 568,VASE 1,1,3,?,?,?,?,1,1,unknown,unclassified: A 568(?) ↔ VASE 1(?),0.0,MET A-[A 568|VASE 1]-A 728
MET A,AB 73,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: MET A(?) ↔ AB 73(?),0.0,[MET A|AB 73]-A 568-A 728
A 568,VASE 3,1,3,?,?,?,?,1,1,unknown,unclassified: A 568(?) ↔ VASE 3(?),0.0,MET A-[A 568|VASE 3]-A 728
A 568,VASE 4,1,3,?,?,?,?,1,1,unknown,unclassified: A 568(?) ↔ VASE 4(?),0.0,MET A-[A 568|VASE 4]-A 728
AB 65,AB 06,0,3,velar/palatal,dental/coronal,u,a,1,1,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 06(na),0.0,[AB 65|AB 06]-AB 36-AB 44
AB 44,AB 77,2,3,velar/palatal,velar/palatal,e,a,1,1,unknown,unclassified: AB 44(ke) ↔ AB 77(ka),0.0,AB 65-AB 36-[AB 44|AB 77]
AB 03,AB 31,2,3,labial,dental/coronal,a,a,1,1,morphological,prefix/suffix substitution: AB 03(pa) ↔ AB 31(sa),0.0,AB 36-AB 44-[AB 03|AB 31]
AB 44,AB 72,1,3,velar/palatal,?,e,?,1,1,unknown,unclassified: AB 44(ke) ↔ AB 72(?),0.0,AB 36-[AB 44|AB 72]-AB 03
AB 03,VASE 1,2,3,labial,?,a,?,1,1,morphological,prefix/suffix substitution: AB 03(pa) ↔ VASE 1(?),0.0,AB 36-AB 44-[AB 03|VASE 1]
AB 44,AB 24,1,3,velar/palatal,dental/coronal,e,e,1,1,unknown,unclassified: AB 44(ke) ↔ AB 24(ne),0.0,AB 36-[AB 44|AB 24]-AB 03
AB 44,AB 08,1,3,velar/palatal,vowel,e,a,1,1,unknown,unclassified: AB 44(ke) ↔ AB 08(a),0.0,AB 36-[AB 44|AB 08]-AB 03
AB 36,AB 03,0,3,velar/palatal,labial,o,a,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 03(pa),0.0,[AB 36|AB 03]-AB 44-AB 03
AB 130,AB 49,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 130(?) ↔ AB 49(?),0.0,AB 44-AB 03-[AB 130|AB 49]
AB 130,AB 65,1,3,?,velar/palatal,?,u,1,1,unknown,unclassified: AB 130(?) ↔ AB 65(ju),0.0,AB 03-[AB 130|AB 65]-AB 26
AB 130,AB 14,1,3,?,dental/coronal,?,o,1,1,unknown,unclassified: AB 130(?) ↔ AB 14(do),0.0,AB 03-[AB 130|AB 14]-AB 26
AB 26,AB 09,0,3,dental/coronal,dental/coronal,u,e,1,1,unknown,unclassified: AB 26(ru) ↔ AB 09(se),0.0,[AB 26|AB 09]-AB 26-A 400
AB 26,AB 23,0,3,dental/coronal,dental/coronal,u,u,1,1,unknown,unclassified: AB 26(ru) ↔ AB 23(mu),0.0,[AB 26|AB 23]-AB 26-A 400
AB 26,AB 42,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ AB 42(?),0.0,[AB 26|AB 42]-AB 26-A 400
NUM 10000,AB 86,2,3,?,?,?,o,1,1,morphological,prefix/suffix substitution: NUM 10000(?) ↔ AB 86(lo),0.0,AB 72-AB 73-[NUM 10000|AB 86]
NUM 10000,A 568,1,3,?,?,?,?,1,1,unknown,unclassified: NUM 10000(?) ↔ A 568(?),0.0,AB 73-[NUM 10000|A 568]-A 728
AB 75,A 706,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 75(?) ↔ A 706(?),0.0,[AB 75|A 706]-AB 29-AB 77
AB 75,MET H,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 75(?) ↔ MET H(?),0.0,[AB 75|MET H]-AB 29-AB 77
A 706,AB 66,1,3,?,?,?,?,1,1,unknown,unclassified: A 706(?) ↔ AB 66(?),0.0,AB 04-[A 706|AB 66]-AB 29
A 706,AB 29,1,3,?,dental/coronal,?,u,1,1,unknown,unclassified: A 706(?) ↔ AB 29(pu),0.0,AB 04-[A 706|AB 29]-AB 29
A 706,MET H,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 706(?) ↔ MET H(?),0.0,[A 706|MET H]-AB 29-AB 77
AB 69,AB 08,2,3,dental/coronal,vowel,u,a,1,1,morphological,prefix/suffix substitution: AB 69(tu) ↔ AB 08(a),0.0,VASE 10-AB 03-[AB 69|AB 08]
AB 89,VASE 4,0,3,labial,?,i,?,1,1,morphological,prefix/suffix substitution: AB 89(mi) ↔ VASE 4(?),0.0,[AB 89|VASE 4]-AB 106-AB 89
A 349,AB 29,2,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ AB 29(pu),0.0,VASE 3-VASE 3-[A 349|AB 29]
A 349,VASE 7,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ VASE 7(?),0.0,VASE 3-VASE 3-[A 349|VASE 7]
A 349,AB 77,2,3,?,velar/palatal,?,a,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ AB 77(ka),0.0,VASE 3-VASE 3-[A 349|AB 77]
A 349,AB 62,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ AB 62(?),0.0,VASE 3-VASE 3-[A 349|AB 62]
A 349,AB 08,2,3,?,vowel,?,a,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ AB 08(a),0.0,VASE 3-VASE 3-[A 349|AB 08]
A 349,AB 73,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ AB 73(?),0.0,VASE 3-VASE 3-[A 349|AB 73]
A 349,MET A,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 349(?) ↔ MET A(?),0.0,VASE 3-VASE 3-[A 349|MET A]
VASE 3,AB 89,0,3,?,labial,?,i,1,1,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 89(mi),0.0,[VASE 3|AB 89]-A 349-VASE 10
AB 66,AB 03,2,3,?,labial,?,a,1,1,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 03(pa),0.0,A 349-VASE 10-[AB 66|AB 03]
VASE 10,VASE 2,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 10(?) ↔ VASE 2(?),0.0,[VASE 10|VASE 2]-AB 66-VASE 4
VASE 10,VASE 4,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 10(?) ↔ VASE 4(?),0.0,[VASE 10|VASE 4]-AB 66-VASE 4
AB 106,AB 66,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 106(?) ↔ AB 66(?),0.0,AB 66-VASE 4-[AB 106|AB 66]
VASE 10,AB 08,0,3,?,vowel,?,a,1,1,morphological,prefix/suffix substitution: VASE 10(?) ↔ AB 08(a),0.0,[VASE 10|AB 08]-AB 03-AB 08
VASE 10,AB 04,0,3,?,dental/coronal,?,e,1,1,morphological,prefix/suffix substitution: VASE 10(?) ↔ AB 04(te),0.0,[VASE 10|AB 04]-AB 03-AB 08
VASE 2,AB 62,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 2(?) ↔ AB 62(?),0.0,AB 03-AB 08-[VASE 2|AB 62]
VASE 2,AB 66,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 2(?) ↔ AB 66(?),0.0,AB 03-AB 08-[VASE 2|AB 66]
VASE 2,AB 49,1,3,?,?,?,?,1,1,unknown,unclassified: VASE 2(?) ↔ AB 49(?),0.0,AB 08-[VASE 2|AB 49]-AB 66
VASE 2,AB 44,1,3,?,velar/palatal,?,e,1,1,unknown,unclassified: VASE 2(?) ↔ AB 44(ke),0.0,AB 08-[VASE 2|AB 44]-AB 66
VASE 2,VASE 4,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 2(?) ↔ VASE 4(?),0.0,[VASE 2|VASE 4]-AB 66-VASE 4
AB 66,AB 75,1,3,?,?,?,?,1,1,unknown,unclassified: AB 66(?) ↔ AB 75(?),0.0,VASE 2-[AB 66|AB 75]-VASE 4
VASE 4,AB 23,1,3,?,dental/coronal,?,u,1,1,unknown,unclassified: VASE 4(?) ↔ AB 23(mu),0.0,AB 66-[VASE 4|AB 23]-AB 66
VASE 4,AB 03,1,3,?,labial,?,a,1,1,unknown,unclassified: VASE 4(?) ↔ AB 03(pa),0.0,AB 66-[VASE 4|AB 03]-AB 66
AB 66,MET A,1,3,?,?,?,?,1,1,unknown,unclassified: AB 66(?) ↔ MET A(?),0.0,VASE 4-[AB 66|MET A]-VASE 4
AB 66,AB 107,1,3,?,?,?,?,1,1,unknown,unclassified: AB 66(?) ↔ AB 107(?),0.0,VASE 4-[AB 66|AB 107]-VASE 4
AB 66,AB 87,1,3,?,?,?,?,1,1,unknown,unclassified: AB 66(?) ↔ AB 87(?),0.0,VASE 4-[AB 66|AB 87]-VASE 4
AB 66,AB 36,1,3,?,velar/palatal,?,o,1,1,unknown,unclassified: AB 66(?) ↔ AB 36(jo),0.0,VASE 4-[AB 66|AB 36]-VASE 4
AB 66,VASE 4,1,3,?,?,?,?,1,1,unknown,unclassified: AB 66(?) ↔ VASE 4(?),0.0,VASE 4-[AB 66|VASE 4]-VASE 4
AB 21f,AB 66,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 21f(?) ↔ AB 66(?),0.0,[AB 21f|AB 66]-AB 23-AB 66
AB 21f,AB 65,0,3,?,velar/palatal,?,u,1,1,morphological,prefix/suffix substitution: AB 21f(?) ↔ AB 65(ju),0.0,[AB 21f|AB 65]-AB 23-AB 66
AB 66,AB 07,2,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 07(di),0.0,AB 21f-AB 23-[AB 66|AB 07]
A 378,AB 54,1,3,?,labial,?,a,1,1,unknown,unclassified: A 378(?) ↔ AB 54(wa),0.0,AB 62-[A 378|AB 54]-AB 66
A 378,AB 98,0,3,?,velar/palatal,?,e,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 98(ke),0.0,[A 378|AB 98]-AB 66-AB 48
A 378,AB 02,0,3,?,dental/coronal,?,o,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 02(ro),0.0,[A 378|AB 02]-AB 66-AB 48
A 378,AB 54,0,3,?,labial,?,a,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 54(wa),0.0,[A 378|AB 54]-AB 66-AB 48
A 378,A 347,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ A 347(?),0.0,[A 378|A 347]-AB 66-AB 48
A 378,AB 23,0,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 23(mu),0.0,[A 378|AB 23]-AB 66-AB 48
A 378,AB 49,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 49(?),0.0,[A 378|AB 49]-AB 66-AB 48
A 378,AB 38,0,3,?,vowel,?,e,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 38(e),0.0,[A 378|AB 38]-AB 66-AB 48
A 378,AB 44,0,3,?,velar/palatal,?,e,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 44(ke),0.0,[A 378|AB 44]-AB 66-AB 48
A 378,AB 22f,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 22f(?),0.0,[A 378|AB 22f]-AB 66-AB 48
A 378,AB 26,0,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: A 378(?) ↔ AB 26(ru),0.0,[A 378|AB 26]-AB 66-AB 48
AB 57,AB 02,1,3,velar/palatal,dental/coronal,a,o,1,1,unknown,unclassified: AB 57(ja) ↔ AB 02(ro),0.0,AB 06-[AB 57|AB 02]-AB 44
AB 44,AB 32,2,3,velar/palatal,vowel,e,i,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 32(i),0.0,AB 06-AB 57-[AB 44|AB 32]
AB 06,AB 90,0,3,dental/coronal,?,a,o,1,1,morphological,prefix/suffix substitution: AB 06(na) ↔ AB 90(lo),0.0,[AB 06|AB 90]-AB 57-AB 44
AB 57,AB 36,1,3,velar/palatal,velar/palatal,a,o,1,1,phonetic,"same class (velar/palatal), different vowel: AB 57(ja) ↔ AB 36(jo)",0.5,AB 06-[AB 57|AB 36]-AB 44
AB 44,MET G,2,3,velar/palatal,?,e,?,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ MET G(?),0.0,AB 06-AB 57-[AB 44|MET G]
AB 44,AB 50,2,3,velar/palatal,dental/coronal,e,u,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 50(pu),0.0,AB 06-AB 57-[AB 44|AB 50]
AB 44,AB 85,2,3,velar/palatal,?,e,?,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 85(?),0.0,AB 06-AB 57-[AB 44|AB 85]
AB 44,AB 06,2,3,velar/palatal,dental/coronal,e,a,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 06(na),0.0,AB 06-AB 57-[AB 44|AB 06]
AB 44,AB 66,2,3,velar/palatal,?,e,?,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 66(?),0.0,AB 06-AB 57-[AB 44|AB 66]
AB 10,AB 66,2,3,vowel,?,u,?,1,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 66(?),0.0,AB 57-AB 44-[AB 10|AB 66]
AB 44,AB 75,1,3,velar/palatal,?,e,?,1,1,unknown,unclassified: AB 44(ke) ↔ AB 75(?),0.0,AB 57-[AB 44|AB 75]-AB 10
AB 34,AB 32,0,3,dental/coronal,vowel,i,i,1,1,morphological,prefix/suffix substitution: AB 34(ti) ↔ AB 32(i),0.0,[AB 34|AB 32]-AB 56-AB 01
AB 01,AB 33,2,3,dental/coronal,labial,a,a,1,1,morphological,prefix/suffix substitution: AB 01(da) ↔ AB 33(pa),0.0,AB 34-AB 56-[AB 01|AB 33]
AB 02,AB 44,1,3,dental/coronal,velar/palatal,o,e,1,1,unknown,unclassified: AB 02(ro) ↔ AB 44(ke),0.0,AB 01-[AB 02|AB 44]-AB 59
AB 59,AB 73,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 73(?),0.0,AB 01-AB 02-[AB 59|AB 73]
AB 59,VASE 4,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 59(?) ↔ VASE 4(?),0.0,AB 01-AB 02-[AB 59|VASE 4]
AB 02,A 704,0,3,dental/coronal,?,o,?,1,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ A 704(?),0.0,[AB 02|A 704]-AB 59-AB 47
AB 02,AB 01,0,3,dental/coronal,dental/coronal,o,a,1,1,unknown,unclassified: AB 02(ro) ↔ AB 01(da),0.0,[AB 02|AB 01]-AB 59-AB 47
AB 59,AB 01,2,3,?,dental/coronal,?,a,1,1,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 01(da),0.0,AB 59-AB 47-[AB 59|AB 01]
AB 47,AB 06,1,3,dental/coronal,dental/coronal,u,a,1,1,phonetic,"same class (dental/coronal), different vowel: AB 47(nu) ↔ AB 06(na)",0.5,AB 59-[AB 47|AB 06]-AB 59
AB 47,AB 57,1,3,dental/coronal,velar/palatal,u,a,1,1,unknown,unclassified: AB 47(nu) ↔ AB 57(ja),0.0,AB 59-[AB 47|AB 57]-AB 59
AB 47,AB 72,1,3,dental/coronal,?,u,?,1,1,unknown,unclassified: AB 47(nu) ↔ AB 72(?),0.0,AB 59-[AB 47|AB 72]-AB 59
AB 59,AB 56,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 56(?),0.0,[AB 59|AB 56]-AB 47-AB 59
AB 44,AB 57,0,3,velar/palatal,velar/palatal,e,a,1,1,unknown,unclassified: AB 44(ke) ↔ AB 57(ja),0.0,[AB 44|AB 57]-AB 51-AB 06
AB 51,AB 48,1,3,dental/coronal,?,u,?,1,1,unknown,unclassified: AB 51(du) ↔ AB 48(?),0.0,AB 44-[AB 51|AB 48]-AB 06
AB 44,AB 39,0,3,velar/palatal,?,e,?,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 39(?),0.0,[AB 44|AB 39]-AB 51-AB 06
AB 51,AB 85,1,3,dental/coronal,?,u,?,1,1,unknown,unclassified: AB 51(du) ↔ AB 85(?),0.0,AB 44-[AB 51|AB 85]-AB 06
AB 44,AB 37,0,3,velar/palatal,?,e,?,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 37(?),0.0,[AB 44|AB 37]-AB 51-AB 06
AB 44,AB 29,0,3,velar/palatal,dental/coronal,e,u,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 29(pu),0.0,[AB 44|AB 29]-AB 51-AB 06
AB 45,AB 65,2,3,dental/coronal,velar/palatal,i,u,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ AB 65(ju),0.0,AB 06-AB 32-[AB 45|AB 65]
AB 45,A 568,2,3,dental/coronal,?,i,?,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ A 568(?),0.0,AB 06-AB 32-[AB 45|A 568]
AB 45,AB 85,2,3,dental/coronal,?,i,?,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ AB 85(?),0.0,AB 06-AB 32-[AB 45|AB 85]
AB 06,AB 31,0,3,dental/coronal,dental/coronal,a,a,1,1,unknown,unclassified: AB 06(na) ↔ AB 31(sa),0.0,[AB 06|AB 31]-AB 32-AB 45
AB 45,AB 26,2,3,dental/coronal,dental/coronal,i,u,1,1,unknown,unclassified: AB 45(ri) ↔ AB 26(ru),0.0,AB 06-AB 32-[AB 45|AB 26]
AB 45,AB 32,2,3,dental/coronal,vowel,i,i,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ AB 32(i),0.0,AB 06-AB 32-[AB 45|AB 32]
AB 32,VASE 6,0,3,vowel,?,i,?,1,1,morphological,prefix/suffix substitution: AB 32(i) ↔ VASE 6(?),0.0,[AB 32|VASE 6]-AB 45-AB 50
AB 32,AB 23,0,3,vowel,dental/coronal,i,u,1,1,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 23(mu),0.0,[AB 32|AB 23]-AB 45-AB 50
AB 32,AB 08,0,3,vowel,vowel,i,a,1,1,unknown,unclassified: AB 32(i) ↔ AB 08(a),0.0,[AB 32|AB 08]-AB 45-AB 50
AB 50,AB 08,2,3,dental/coronal,vowel,u,a,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 08(a),0.0,AB 32-AB 45-[AB 50|AB 08]
AB 50,AB 01,0,3,dental/coronal,dental/coronal,u,a,1,1,unknown,unclassified: AB 50(pu) ↔ AB 01(da),0.0,[AB 50|AB 01]-AB 56-AB 32
AB 50,AB 13,0,3,dental/coronal,labial,u,e,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 13(me),0.0,[AB 50|AB 13]-AB 56-AB 32
AB 32,AB 29,2,3,vowel,dental/coronal,i,u,1,1,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 29(pu),0.0,AB 50-AB 56-[AB 32|AB 29]
AB 50,AB 38,0,3,dental/coronal,vowel,u,e,1,1,morphological,prefix/suffix substitution: AB 50(pu) ↔ AB 38(e),0.0,[AB 50|AB 38]-AB 56-AB 32
AB 56,AB 07,0,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 07(di),0.0,[AB 56|AB 07]-AB 32-AB 44
AB 44,AB 03,2,3,velar/palatal,labial,e,a,1,1,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 03(pa),0.0,AB 56-AB 32-[AB 44|AB 03]
AB 56,AB 14,0,3,?,dental/coronal,?,o,1,1,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 14(do),0.0,[AB 56|AB 14]-AB 32-AB 44
AB 44,AB 66,1,3,velar/palatal,?,e,?,1,1,unknown,unclassified: AB 44(ke) ↔ AB 66(?),0.0,AB 32-[AB 44|AB 66]-AB 29
AB 29,AB 52,2,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 52(?),0.0,AB 32-AB 44-[AB 29|AB 52]
AB 32,AB 08,0,3,vowel,vowel,i,a,1,1,unknown,unclassified: AB 32(i) ↔ AB 08(a),0.0,[AB 32|AB 08]-AB 44-AB 29
AB 36,AB 51,2,3,velar/palatal,dental/coronal,o,u,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 51(du),0.0,AB 44-AB 29-[AB 36|AB 51]
AB 29,AB 22f,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 22f(?),0.0,[AB 29|AB 22f]-AB 36-AB 52
AB 29,AB 04,0,3,dental/coronal,dental/coronal,u,e,1,1,unknown,unclassified: AB 29(pu) ↔ AB 04(te),0.0,[AB 29|AB 04]-AB 36-AB 52
AB 29,AB 02,0,3,dental/coronal,dental/coronal,u,o,1,1,unknown,unclassified: AB 29(pu) ↔ AB 02(ro),0.0,[AB 29|AB 02]-AB 36-AB 52
AB 36,AB 63,0,3,velar/palatal,velar/palatal,o,e,1,1,unknown,unclassified: AB 36(jo) ↔ AB 63(ke),0.0,[AB 36|AB 63]-AB 52-AB 08
AB 52,AB 106,1,3,?,?,?,?,1,1,unknown,unclassified: AB 52(?) ↔ AB 106(?),0.0,AB 36-[AB 52|AB 106]-AB 08
AB 52,AB 62,1,3,?,?,?,?,1,1,unknown,unclassified: AB 52(?) ↔ AB 62(?),0.0,AB 36-[AB 52|AB 62]-AB 08
AB 08,AB 90,2,3,vowel,?,a,o,1,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 90(lo),0.0,AB 36-AB 52-[AB 08|AB 90]
AB 36,AB 30,0,3,velar/palatal,dental/coronal,o,i,1,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 30(ni),0.0,[AB 36|AB 30]-AB 52-AB 08
