triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
7676,3,"C,V,both",AB 24,AB 85,AB 73,"AB 10,AB 30","AB 06,AB 08,AB 44",False,True,True,2,,au,mi,0.0,0.1286,0.0979,0.103,0.469,0.118,0.143,0.47,0.132,126,508,68
7768,3,"C,V,both",AB 24,AB 66,AB 64,"AB 02,AB 06,AB 07",AB 66,False,True,True,2,,ta,o,0.0,0.1687,0.276,0.103,0.362,0.156,0.143,0.356,0.156,126,461,32
8168,3,"C,V,both",AB 26,AB 36,AB 64,"AB 07,AB 56","AB 08,AB 36,AB 66",False,True,True,2,,jo,o,0.0,0.3901,0.276,0.269,0.363,0.156,0.178,0.324,0.156,219,333,32
9043,3,"C,V,both",AB 32,AB 48,AB 66,"AB 06,AB 07",AB 66,False,True,True,2,,wa,ta,0.0,0.3229,0.1687,0.098,0.087,0.362,0.116,0.087,0.356,112,46,461
11825,3,"C,V,both",AB 62,AB 13,AB 29,"AB 10,AB 56","AB 50,AB 56,AB 62",True,False,True,2,ta,,pu,0.1386,0.0,0.3253,0.403,0.178,0.118,0.394,0.089,0.243,437,45,144
123,3,"C,V,both",AB 01,AB 05,AB 66,"AB 02,AB 26","AB 01,AB 66",True,False,True,2,da,,ta,0.525,0.0,0.1687,0.154,0.118,0.362,0.091,0.059,0.356,143,17,461
280,3,"C,V,both",AB 01,AB 49,AB 04,"AB 10,AB 56",AB 56,True,True,False,2,da,we,,0.525,0.2994,0.0,0.154,0.163,0.215,0.091,0.145,0.301,143,172,186
1130,3,"C,V,both",AB 02,AB 65,AB 06,"AB 10,AB 56",AB 56,True,True,False,2,ro,jo,,0.3403,0.2831,0.0,0.337,0.092,0.044,0.441,0.058,0.088,279,120,159
3590,3,"C,V,both",AB 06,AB 36,AB 73,"AB 01,AB 56","AB 06,AB 56",False,True,True,2,,jo,mi,0.0,0.3901,0.0979,0.044,0.363,0.118,0.088,0.324,0.132,159,333,68
4494,3,"C,V,both",AB 08,AB 23,AB 49,AB 56,AB 56,False,True,True,2,,mu,we,0.0,0.4072,0.2994,0.435,0.074,0.163,0.081,0.074,0.145,209,94,172
6517,3,"C,V,both",AB 14,AB 62,AB 30,"AB 10,AB 24","AB 24,AB 32,AB 50",True,True,False,2,do,ta,,0.4233,0.1386,0.0,0.05,0.403,0.065,0.125,0.394,0.043,40,437,139
