greek,transliteration,english_gloss,minoan_form,category,query,matched,distance,distance_threshold,inscription_id,gorila_id,site,material,period,semantic_score,confidence_score,found_commodities,context_syllabograms
ῥόδον,rhodon,rose,wrod,nature,WARODU,SARODU,1,1,25,HT19,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,𐄁TE𐄁
ῥόδον,rhodon,rose,wrod,nature,WARODU,WADU,1,1,7,HT6b,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,WADUNI
ῥόδον,rhodon,rose,wrod,nature,WARODU,WADU,1,1,1380,KNZa10,Knossos,stone,LM IA,0.05,41.5,,𐄁DA
ῥόδον,rhodon,rose,wrod,nature,WARODU,WADU,1,1,1617,ZA10b,Zakros,stone,Uncertain,0.05,41.5,,WA2
ῥόδον,rhodon,rose,wrod,nature,WARODU,WAADU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,DERU20
ῥόδον,rhodon,rose,wrod,nature,WARODU,RODU,1,1,136,HT108,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,GRA,70—
δάφνη,daphnē,laurel,dapʰn,nature,DAPUNU,DANU,1,1,63,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,DU20
δάφνη,daphnē,laurel,dapʰn,nature,DAPUNU,DAMINU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.05,41.5,,1KURO
κυπάρισσος,kyparissos,cypress,kuparis,nature,KUPARISU,KUPARI,1,1,1450,PE1,Petras,clay,Uncertain,0.05,36.5,,KUPARIVIR+[?]
ἐλαία,elaia,olive (tree),elai,nature,ERAI,DARAI,1,1,39,HT28a,Haghia Triada - Villa Magazine,clay,LM IB,0.467,39.0,"OLE+U,GRA,OLE",2
ἐλαία,elaia,olive (tree),elai,nature,ERAI,ENAI,1,1,1140,KH7a,Khania,clay,Uncertain,0.05,26.5,,KI*3344
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KUARA,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.05,36.5,,1QESU
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,MINARA,1,1,1407,KNZf31,Knossos,metal,Uncertain,0.05,36.5,,NE𐄁QA
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,MANARA,1,1,43,HT31,Haghia Triada - Villa Magazine,clay,LM IB,0.05,36.5,,10
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KUNA,1,1,63,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,36.5,,]TU+RO𐄁
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KUNA,1,1,1398,KNZc6,Knossos,,Uncertain,0.05,36.5,,NU𐄁JU
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KUNA,1,1,1624,ZA15a,Zakros,stone,Uncertain,0.05,36.5,,*47KUNA
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KURA,1,1,37,HT27a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,36.5,,51RE
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KURA,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.05,36.5,,SU1MI
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KURA,1,1,1631,ZA20,Zakros,stone,LM IB,0.05,36.5,,TU6TE
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KURA,1,1,1665,ARKH2,Arkhalkhori,clay,LM IB,0.05,36.5,,KURA*131B
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,NARA,1,1,1109,IOZa2,Iouktas,stone,Uncertain,0.05,36.5,,MA𐄁
κυνάρα,kynara,artichoke,kunara,nature,KUNARA,KURORA,1,1,117,HT94b,Haghia Triada - Casa Room 7,clay,LM IB,0.05,36.5,,KIRU1
λαύρα,laurada,lane/alley,laur,nature,RAURU,RAUNARU,1,1,1123,IOZa16,Iouktas,stone,Uncertain,0.05,41.5,,SASARA
λαύρα,laurada,lane/alley,laur,nature,RAURU,RAUDE,1,1,159,HT122b,Haghia Triada - Casa del Lebete,clay,LM IB,0.05,41.5,,VIR+[?]KI
λαύρα,laurada,lane/alley,laur,nature,RAURU,RAUDA,1,1,1138,KH5,Khania,clay,LM IB,0.05,41.5,,ARAU
λαύρα,laurada,lane/alley,laur,nature,RAURU,RATURU,1,1,168,HT128a,Haghia Triada - Casa del Lebete,clay,LM IB,0.05,41.5,,𐄁PARA
λαύρα,laurada,lane/alley,laur,nature,RAURU,URU,1,1,33,HT25a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,1NA
λαύρα,laurada,lane/alley,laur,nature,RAURU,RARU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,𐝫
λίμνη,limnē,lake/marsh,limn,nature,RIMUNU,RIMU,1,1,1406,KNZf13,Knossos,metal,LM IA,0.05,41.5,,TERIMU
πύργος,pyrgos,tower,purg,architecture,PURUKU,PUKU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,DIKISE
πύργος,pyrgos,tower,purg,architecture,PURUKU,MURUKU,1,1,61,HT46a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,𐝫MURU
πύργος,pyrgos,tower,purg,architecture,PURUKU,KARUKU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,KARU𐄁
πύργος,pyrgos,tower,purg,architecture,PURUKU,KARUKU,1,1,107,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,KARU𐄁
πύργος,pyrgos,tower,purg,architecture,PURUKU,PUMAKU,1,1,181,HT139,Haghia Triada - Casa del Lebete,clay,LM IB,0.05,41.5,,PUMAKU
πύργος,pyrgos,tower,purg,architecture,PURUKU,SARUKU,1,1,117,HT94b,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,1KEKI
πύργος,pyrgos,tower,purg,architecture,PURUKU,SARUKU,1,1,118,HT95a,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,MINUTE
πύργος,pyrgos,tower,purg,architecture,PURUKU,ARUKU,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,DINAU
πύργος,pyrgos,tower,purg,architecture,PURUKU,MARUKU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.05,41.5,,TU1KU
πύργος,pyrgos,tower,purg,architecture,PURUKU,RARUKU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,𐝫
πύργος,pyrgos,tower,purg,architecture,PURUKU,RUKU,1,1,1182,KH49,Khania,clay,LM IB,0.05,41.5,,𐝫RU
