egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,KOZa1,Kophinas,stone,Uncertain,stone vessel,20,22,3,na+ma+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,PKZa10,Palaikastro,stone,Uncertain,stone vessel,4,6,3,mi+na+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,PKZa11,Palaikastro,stone,Uncertain,stone vessel,30,32,3,mi+na+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,TLZa1,Troullos,stone,Uncertain,stone vessel,20,22,3,na+ma+si,NNS,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT10a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),8,10,3,za+za+ru,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT34,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),3,5,3,si+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),5,7,3,su+sa+ru,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),5,7,3,su+sa+ru,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,IOZa2,Iouktas,stone,Uncertain,stone vessel,10,12,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,IOZa6,Iouktas,stone,LM IA,stone vessel,15,17,3,sa+sa+ra,SSR,conventional,,False,55.0
