gorila_id,inscription_id,num_signs,strategy,num_boundaries,confidence,has_ground_truth,details
HT109,137,20,viterbi_hmm,14,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT10a,14,38,bigram_transition,3,1.0000,True,"threshold=0.012821, p25"
HT10a,14,38,boundary_entropy,15,1.0000,True,"threshold=1.0000, median=1.0000"
HT10a,14,38,consensus,3,1.0000,True,"4 strategies, 3 accepted"
HT10a,14,38,ground_truth,3,1.0000,True,3 divider(s)
HT10a,14,38,positional_profile,3,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT10a,14,38,viterbi_hmm,4,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT10b,15,24,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT10b,15,24,boundary_entropy,9,1.0000,False,"threshold=1.0000, median=1.0000"
HT10b,15,24,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT10b,15,24,ground_truth,0,0.0000,False,0 divider(s)
HT10b,15,24,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT10b,15,24,viterbi_hmm,8,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT110a,138,21,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT110a,138,21,boundary_entropy,9,1.0000,False,"threshold=1.0000, median=1.0000"
HT110a,138,21,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT110a,138,21,ground_truth,0,0.0000,False,0 divider(s)
HT110a,138,21,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT110a,138,21,viterbi_hmm,7,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT110b,139,25,bigram_transition,1,1.0000,False,"threshold=0.012821, p25"
HT110b,139,25,boundary_entropy,8,1.0000,False,"threshold=1.0000, median=1.0000"
HT110b,139,25,consensus,1,0.7500,False,"4 strategies, 1 accepted"
HT110b,139,25,ground_truth,0,0.0000,False,0 divider(s)
HT110b,139,25,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT110b,139,25,viterbi_hmm,12,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT111a,140,21,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT111a,140,21,boundary_entropy,13,1.0000,False,"threshold=1.0000, median=1.0000"
HT111a,140,21,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT111a,140,21,ground_truth,0,0.0000,False,0 divider(s)
HT111a,140,21,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT111a,140,21,viterbi_hmm,7,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT111b,141,19,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT111b,141,19,boundary_entropy,9,1.0000,False,"threshold=1.0000, median=1.0000"
HT111b,141,19,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT111b,141,19,ground_truth,0,0.0000,False,0 divider(s)
HT111b,141,19,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT111b,141,19,viterbi_hmm,10,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT112a,142,8,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT112a,142,8,boundary_entropy,7,1.0000,False,"threshold=1.0000, median=1.0000"
HT112a,142,8,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT112a,142,8,ground_truth,0,0.0000,False,0 divider(s)
HT112a,142,8,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT112a,142,8,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT112b,143,7,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT112b,143,7,boundary_entropy,4,1.0000,False,"threshold=1.0000, median=1.0000"
HT112b,143,7,consensus,0,0.0000,False,"4 strategies, 0 accepted"
