gorila_id,inscription_id,num_signs,num_words,segmented_text,ground_truth_boundaries,predicted_boundaries,confidence
HTWa1844,1044,1,1,𐙕,[],[],0.0000
HTWa1845+1733,1045,1,1,𐙕,[],[],0.0000
HTWa1846,1046,1,1,𐙕,[],[],0.0000
HTWa1847,1047,1,1,𐙕,[],[],0.0000
HTWa1848,1048,1,1,𐙕,[],[],0.0000
HTWa1849,1049,1,1,𐚙,[],[],0.0000
HTWa1850,1050,1,1,𐚚,[],[],0.0000
HTWa1851,1051,1,1,𐚛,[],[],0.0000
HTWa1852,1052,1,1,𐚜,[],[],0.0000
HTWa1853,1053,1,1,𐚝,[],[],0.0000
HTWa1854,1054,1,1,𐚞,[],[],0.0000
HTWa1855,1055,1,1,𐝫,[],[],0.0000
HTWa1856,1056,1,1,𐝫,[],[],0.0000
HTWa1857,1057,1,1,𐝫,[],[],0.0000
HTWa1858,1058,1,1,𐝫,[],[],0.0000
HTWa1859,1059,1,1,𐝫,[],[],0.0000
HTWa1860,1060,1,1,𐝫,[],[],0.0000
HTWa1861,1061,1,1,𐝫,[],[],0.0000
HTWb2001,1063,1,1,𐘁,[],[],0.0000
HTWb2002,1064,1,1,𐘁,[],[],0.0000
HTWb229,1062,2,1,𐙓𐜙,[],[],0.0000
HTWc3001,1065,4,1,𐘂𐘈𐘱𐝆,[],[],0.0000
HTWc3002,1066,3,1,𐘂𐘈𐘱,[],[],0.0000
HTWc3003,1067,3,1,𐘾𐘙𐘁,[],[],0.0000
HTWc3004,1068,4,1,𐘳𐘝𐘾𐘈,[],[],0.0000
HTWc3005,1069,4,1,𐘳𐘝𐘾𐘈,[],[],0.0000
HTWc3006,1070,6,1,𐘮𐘵𐘻𐘴𐙦𐘴,[],[],0.0000
HTWc3007,1071,3,1,𐘮𐘆𐘝,[],[],0.0000
HTWc3008,1072,7,1,𐘮𐘆𐘝𐘘𐘱𐘳𐘆,[],[],0.0000
HTWc3009,1073,5,1,𐙹𐘆𐘲𐘾𐙓,[],[],0.0000
HTWc3010,1074,5,1,𐙹𐘆𐘅𐘲𐘾,[],[],0.0000
HTWc3011,1075,3,1,𐙀𐘆𐘴,[],[],0.0000
HTWc3012,1076,5,1,𐙀𐘆𐘴𐘙𐘁,[],[],0.0000
HTWc3013,1077,1,1,𐙓,[],[],0.0000
HTWc3014,1078,6,2,𐙂𐘻𐘅𐘿𐄁 | 𐘒,[4],[4],1.0000
HTWc3015,1079,4,1,𐘾𐙂𐘂𐙗,[],[],0.0000
HTWc3016,1080,5,1,𐘾𐙂𐘂𐜝𐜙,[],[],0.0000
HTWc3017,1081,9,3,𐘌𐙂𐘙𐄁 | 𐘆𐙚𐄁 | 𐜙𐜝,"[3, 6]","[3, 6]",1.0000
HTWc3019,1083,2,1,𐘮𐝃,[],[],0.0000
HTWc3021,1084,1,1,𐝫,[],[],0.0000
HTWc3022(?),1085,1,1,𐙇,[],[],0.0000
HTWc3024,1087,5,1,𐘇𐘴𐘹𐘋𐘓,[],[],0.0000
HTWc<3018>,1082,2,1,𐘾𐜙,[],[],0.0000
HTWd1617,1088,1,1,𐙂,[],[],0.0000
HTWd1663,1089,1,1,𐙕,[],[],0.0000
HTWeWc3020,1090,4,1,𐙓𐘬𐜝𐜙,[],[],0.0000
HTZb158a,1091,6,2,𐄁 | 𐝫𐘹𐘈𐘲𐘸,[0],[0],1.0000
HTZb158b,1092,6,2,𐘲𐘸𐘭𐘃 | 𐘚𐘱,[],[3],0.7500
HTZb159,1093,7,1,𐘇𐘅𐘯𐘤𐘱𐘈𐝫,[],[],0.0000
HTZb160,1094,7,1,𐘂𐘳𐘀𐘬𐘜𐘙𐝫,[],[],0.0000
HTZb161,1095,4,1,𐝫𐘤𐘫𐝫,[],[],0.0000
HTZb162,1096,4,1,𐘆𐄉𐘠𐘬,[],[],0.0000
HTZb162bis,1097,1,1,𐘀,[],[],0.0000
HTZd155,1098,9,2,𐘇𐘶𐄁 | 𐘅𐙁𐙁𐘠𐘠𐙫,[2],[2],1.0000
HTZd157+156,1099,22,1,𐘣𐘱𐘲𐙁𐘠𐘠𐙫𐄇𐙫𐄇𐝆𐙫𐄈𐝃𐙫𐄉𐝃𐝄𐘳𐘱𐝇𐝫,[],[],0.0000
HTZf(HM767),1705,2,1,𐘠𐙁,[],[],0.0000
HTZf163,1100,1,1,𐘀,[],[],0.0000
HTZf164,1101,1,1,𐘀,[],[],0.0000
HTZf165,1102,1,1,𐘚,[],[],0.0000
HTZf166,1103,1,1,𐙯,[],[],0.0000
HTZf167,1104,1,1,𐙜,[],[],0.0000
HTZf168,1105,2,1,𐘗𐘀,[],[],0.0000
HTZf169,1106,1,1,𐝫,[],[],0.0000
HTZg163,1107,1,1,𐝄,[],[],0.0000
INZb1,1703,2,1,𐘯𐘁,[],[],0.0000
IOZa11,1118,19,4,𐝫𐘅𐝫𐄁 | 𐝫𐘀𐘀𐝫𐄁 | 𐝫𐘉𐘠𐘯𐄁 | 𐘚𐘅𐘚𐘀𐝫,"[3, 8, 13]","[3, 8, 13]",1.0000
IOZa12,1119,11,4,𐄁 | 𐄁 | 𐘱𐘞𐘞𐘴𐘋𐄁 | 𐘚𐘠𐝫,"[0, 1, 7]","[0, 1, 7]",1.0000
IOZa13,1120,5,2,𐄁 | 𐝫𐙁𐘚𐝫,[0],[0],1.0000
IOZa14,1121,8,2,𐘤𐝫𐘘𐘃𐄁 | 𐘚𐘆𐝫,[4],[4],1.0000
IOZa15,1122,10,2,𐝫𐘚𐘢𐘅𐙁𐄁 | 𐘤𐘘𐝫𐘃,[5],[5],1.0000
IOZa16,1123,16,3,𐝫𐙌𐄁 | 𐘱𐘞𐘞𐘴𐘋𐄁 | 𐘉𐘅𐘘𐘾𐝫𐘅𐘤,"[2, 8]","[2, 8]",1.0000
IOZa2,1109,48,8,𐘇𐘳𐘚𐙕𐘮𐘱𐄁 | 𐘱𐘆𐘸𐘹𐄁 | 𐘱𐘞𐘞𐘴𐝫𐘋𐄁 | 𐘉𐘅𐘾𐘅𐝫𐘤𐝫𐄁 | 𐝫𐘚𐘢𐘅𐙁𐄁 | 𐘤𐘘𐘃𐄁 | 𐘳𐘅𐘴𐘃𐘉𐘠𐘯𐄁 | 𐘚𐝫𐄁,"[6, 11, 18, 26, 32, 36, 44, 47]","[6, 11, 18, 26, 32, 36, 44, 47]",1.0000
IOZa3,1110,10,3,𐄁 | 𐘇𐘳𐘚𐙕𐘮𐘱𐄁 | 𐙄𐝫,"[0, 7]","[0, 7]",1.0000
IOZa4,1111,4,1,𐝫𐙕𐘮𐝫,[],[],0.0000
IOZa5,1112,11,2,𐝫𐘚𐘱𐘙𐘆𐘱𐄁 | 𐘚𐘱𐘂𐝫,[6],[6],1.0000
IOZa6,1113,23,3,𐘳𐘅𐘚𐙕𐘉𐘠𐘯𐄁 | 𐘚𐘅𐘳𐘚𐙀𐘆𐘤𐘾𐄁 | 𐘱𐘞𐘞𐘴𐘋𐄁,"[7, 16, 22]","[7, 16, 22]",1.0000
IOZa7,1114,11,2,𐘇𐘳𐘚𐙕𐘮𐘱𐄁 | 𐘱𐘠𐙭𐝫,[6],[6],1.0000
IOZa8,1115,8,2,𐝫𐘇𐘅 | 𐘠𐙕𐘮𐘱𐝫,[],[2],0.7500
IOZa9,1116,13,2,𐘱𐘞𐘞𐝫𐘴𐘋𐄁 | 𐘉𐘅𐘾𐝫𐘅𐘤,[6],[6],1.0000
IOZa<1>,1108,3,1,𐘇𐘧𐘞,[],[],0.0000
IOZb10,1117,6,1,𐝫𐘇𐘞𐘞𐘴𐘋,[],[],0.0000
KAMZb1,1125,4,2,𐘯𐘁𐄁 | 𐄁,"[2, 3]","[2, 3]",1.0000
KANZa1,1126,7,2,𐘇𐝫𐄁 | 𐝫𐘚𐝫𐝫,[2],[2],1.0000
KAZf1,1124,3,1,𐘹𐘯𐄁,[2],[2],1.0000
KE1,1127,5,2,𐘾 | 𐘞𐝫𐝫𐝫,[],[0],0.7500
KEWc2,1128,3,1,𐝂𐝁𐝁,[],[],0.0000
KEZb3,1129,1,1,𐘸,[],[],0.0000
KEZb4,1130,4,2,𐄁 | 𐘱𐘤𐘡,[0],[0],1.0000
KEZb5,1131,1,1,𐜀,[],[],0.0000
KEZb6,1132,3,1,𐝫𐘜𐝫,[],[],0.0000
KEZb7,1133,3,1,𐝫𐘢𐝫,[],[],0.0000
KH1,1134,11,2,𐝫𐘧𐄁 | 𐛵𐄖𐝫𐄉𐝆𐘝𐝫𐝫,[2],[2],1.0000
KH10,1144,21,3,𐝫𐝫𐄈𐝫𐝆𐙉𐄐𐘚𐘂𐘞𐘱𐄁 | 𐘌𐙈𐘇𐘸𐘢𐘡 | 𐘃𐙉𐄘,[11],"[11, 17]",0.8750
KH100,1232,12,2,𐚌𐙚𐝫 | 𐝫𐘁𐙍𐝫𐝫𐘥𐝃𐝫𐝫,[],[2],0.7500
KH101,1697,7,1,𐝫𐄒𐄈𐙗𐝫𐝕𐝫,[],[],0.0000
KH102,1690,2,1,𐘇𐘻,[],[],0.0000
KH103,1698,18,1,𐙖𐄐𐄇𐝫𐙖𐘱𐝫𐄇𐙖𐘳𐄎𐝫𐘝𐙗𐄑𐄉𐝫𐙍,[],[],0.0000
KH104,1712,6,1,𐙉𐝆𐝫𐘀𐘙𐙉,[],[],0.0000
KH105,1713,3,1,𐘦𐘸𐘠,[],[],0.0000
KH11,1145,45,2,𐘇𐘬𐝫𐄁 | 𐝫𐘍𐙗𐝇𐘲𐄉𐜚𐝇𐝉𐙍𐝀𐙚𐄊𐙗𐝁𐚈𐙗𐝇𐝉𐘇𐘄𐚉𐘄𐘚𐜚𐄉𐘝𐄇𐙍𐄉𐘇𐘳𐚊𐙕𐄇𐙚𐄇𐘤𐙗𐝇𐝉,[3],[3],1.0000
KH12,1146,27,1,𐝫𐙗𐝫𐄈𐙜𐝆𐛚𐝆𐝫𐝁𐙻𐝫𐝫𐝁𐛀𐝫𐝇𐜫𐝂𐜩𐝍𐝫𐝫𐜩𐝍𐝫𐝫,[],[],0.0000
KH13,1147,27,1,𐝫𐝫𐄈𐝆𐝫𐝫𐘇𐘈𐘙𐘍𐝫𐝫𐝃𐝉𐙘𐝫𐙗𐝁𐝫𐝫𐝫𐘀𐘚𐝫𐝫𐄉𐝫,[],[],0.0000
KH14,1148,27,3,𐝫𐘴𐄁 | 𐘇𐙁𐘱𐄁 | 𐙗𐄌𐝫𐝫𐙗𐝃𐙼𐄈𐙗𐝇𐝫𐝫𐘝𐝃𐛨𐄈𐝫𐙗𐝫𐝫,"[2, 6]","[2, 6]",1.0000
