n,gram,count,probability,type
1,𐝆𐝅,1,0.00009076,transliteration
1,𐘵,1,0.00009076,transliteration
1,*406,1,0.00009076,transliteration
1,*343,1,0.00009076,transliteration
1,165,1,0.00009076,transliteration
1,𐙪,1,0.00009076,transliteration
1,*344,1,0.00009076,transliteration
1,82,1,0.00009076,transliteration
1,𐛱,1,0.00009076,transliteration
1,TI+A,1,0.00009076,transliteration
1,97,1,0.00009076,transliteration
1,976,1,0.00009076,transliteration
1,1060,1,0.00009076,transliteration
1,TE+RO[,1,0.00009076,transliteration
1,29,1,0.00009076,transliteration
1,95,1,0.00009076,transliteration
1,234,1,0.00009076,transliteration
1,235,1,0.00009076,transliteration
1,*332,1,0.00009076,transliteration
1,GRA+H,1,0.00009076,transliteration
1,*648,1,0.00009076,transliteration
1,𐜧,1,0.00009076,transliteration
1,GRA+BOSm,1,0.00009076,transliteration
1,𐝂𐝂𐝂𐝂,1,0.00009076,transliteration
1,𐘊,1,0.00009076,transliteration
1,*306+MI,1,0.00009076,transliteration
1,𐜞,1,0.00009076,transliteration
1,34,1,0.00009076,transliteration
1,67,1,0.00009076,transliteration
1,*345,1,0.00009076,transliteration
1,𐙳,1,0.00009076,transliteration
1,74,1,0.00009076,transliteration
1,𐝆𐝀,1,0.00009076,transliteration
1,48,1,0.00009076,transliteration
1,OLE+QE+DI,1,0.00009076,transliteration
1,*346,1,0.00009076,transliteration
1,65,1,0.00009076,transliteration
1,si,1,0.00009076,transliteration
1,𐝎,1,0.00009076,transliteration
1,93,1,0.00009076,transliteration
1,𐘪,1,0.00009076,transliteration
1,TWE,1,0.00009076,transliteration
1,156,1,0.00009076,transliteration
1,VIR+*313c,1,0.00009076,transliteration
1,KI+MU,1,0.00009076,transliteration
1,291,1,0.00009076,transliteration
1,353,1,0.00009076,transliteration
1,VIN+SA,1,0.00009076,transliteration
1,𐛼,1,0.00009076,transliteration
1,451,1,0.00009076,transliteration
1,27,1,0.00009076,transliteration
1,GRA+DA,1,0.00009076,transliteration
1,55,1,0.00009076,transliteration
1,None,1,0.00009076,transliteration
1,o,1,0.00009076,transliteration
1,n,1,0.00009076,transliteration
1,RA+KA,1,0.00009076,transliteration
1,I+*301,1,0.00009076,transliteration
1,*905,1,0.00009076,transliteration
1,*365,1,0.00009076,transliteration
1,*366,1,0.00009076,transliteration
1,*367,1,0.00009076,transliteration
1,*368,1,0.00009076,transliteration
1,*369,1,0.00009076,transliteration
1,i,1,0.00009076,transliteration
1,weigh H,1,0.00009076,transliteration
1,VINb+WI,1,0.00009076,transliteration
1,*347,1,0.00009076,transliteration
1,𐘑,1,0.00009076,transliteration
1,ro2?,1,0.00009076,transliteration
1,VIR+*313b,1,0.00009076,transliteration
1,𐝫𐝁𐝌,1,0.00009076,transliteration
1,weigh G,1,0.00009076,transliteration
1,CYP+K,1,0.00009076,transliteration
1,weigh I,1,0.00009076,transliteration
1,SI+TA2,1,0.00009076,transliteration
1,*348,1,0.00009076,transliteration
1,𐝇𐝉,1,0.00009076,transliteration
1,𐚊,1,0.00009076,transliteration
1,𐝫𐝃𐝉,1,0.00009076,transliteration
1,DA+*301,1,0.00009076,transliteration
1,140,1,0.00009076,transliteration
1,𐝃𐝋,1,0.00009076,transliteration
1,O (1/6?),1,0.00009076,transliteration
1,𐝫𐝉𐝫,1,0.00009076,transliteration
1,𐜪,1,0.00009076,transliteration
1,*307+*301[,1,0.00009076,transliteration
1,𐜟,1,0.00009076,transliteration
1,𐛇,1,0.00009076,transliteration
1,𐙻,1,0.00009076,transliteration
1,𐝫𐝋,1,0.00009076,transliteration
1,𐝫𐝕𐝉𐝫,1,0.00009076,transliteration
1,𐜐,1,0.00009076,transliteration
1,𐝫𐘂𐘀𐝫,1,0.00009076,transliteration
1,1000,1,0.00009076,transliteration
1,*315,1,0.00009076,transliteration
1,𐙏,1,0.00009076,transliteration
1,pi,1,0.00009076,transliteration
1,*401+RO,1,0.00009076,transliteration
1,𐝫𐝈𐝀𐝀,1,0.00009076,transliteration
1,*371,1,0.00009076,transliteration
1,GAL,1,0.00009076,transliteration
1,*351,1,0.00009076,transliteration
1,*86+'*188',1,0.00009076,transliteration
1,*810,1,0.00009076,transliteration
1,240,1,0.00009076,transliteration
1,"?,pi?",1,0.00009076,transliteration
1,𐝊,1,0.00009076,transliteration
1,SU+MI,1,0.00009076,transliteration
1,𐘫,1,0.00009076,transliteration
1,*528,1,0.00009076,transliteration
